date,country,monthly_hashrate_%,monthly_hashrate,Open,High,Low,Close,Adj Close,Volume,gCO2e/kWh
9/1/19,Mainland China,75.53%,66.76,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Other,6.10%,5.39,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Russian Federation,5.93%,5.24,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,United States,4.06%,3.59,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Malaysia,3.25%,2.88,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,"Iran, Islamic Rep.",1.74%,1.54,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Kazakhstan,1.42%,1.26,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Canada,1.06%,0.94,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Germany *,0.90%,0.8,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
9/1/19,Ireland *,0.00%,0,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859,64.110985
10/1/19,Mainland China,74.78%,71.03,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Other,6.29%,5.98,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Russian Federation,5.87%,5.57,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,United States,5.58%,5.3,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Malaysia,3.26%,3.1,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,"Iran, Islamic Rep.",1.77%,1.68,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Kazakhstan,1.37%,1.3,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Canada,0.65%,0.61,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Germany *,0.43%,0.41,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
10/1/19,Ireland *,0.00%,0,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413,74.066875
11/1/19,Mainland China,72.33%,66.21,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Other,6.66%,6.1,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,United States,6.58%,6.02,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Russian Federation,6.24%,5.72,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Malaysia,3.66%,3.35,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Kazakhstan,1.71%,1.56,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,"Iran, Islamic Rep.",1.60%,1.46,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Canada,0.87%,0.79,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Germany *,0.34%,0.31,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
11/1/19,Ireland *,0.00%,0,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031,65.468813
12/1/19,Mainland China,73.46%,70.06,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Russian Federation,6.23%,5.94,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Other,6.20%,5.92,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Malaysia,3.92%,3.74,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,United States,3.87%,3.69,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,"Iran, Islamic Rep.",2.71%,2.59,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Kazakhstan,2.18%,2.08,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Canada,1.03%,0.98,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Germany *,0.40%,0.38,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
12/1/19,Ireland *,0.00%,0,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479,62.91377
1/1/20,Mainland China,72.69%,79.41,7194.89209,7254.330566,7174.944336,7200.174316,7200.174316,18565664997,71.126017
1/1/20,Russian Federation,6.05%,6.6,7194.89209,7254.330566,7174.944336,7200.174316,7200.174316,18565664997,71.126017
